city,city_type,year,country,estimate
Chelsea,gateway,2024,Bulgaria,18
"Dedham CDP, Massachusetts",gateway,2024,Bulgaria,48
"Dennis Port CDP, Massachusetts",gateway,2024,Bulgaria,37
"East Dennis CDP, Massachusetts",gateway,2024,Bulgaria,10
Fitchburg,gateway,2024,Bulgaria,6
Greenfield,gateway,2024,Bulgaria,27
"Lexington CDP, Massachusetts",gateway,2024,Bulgaria,58
Malden,gateway,2024,Bulgaria,42
"Mansfield Center CDP, Massachusetts",gateway,2024,Bulgaria,49
"Marblehead CDP, Massachusetts",gateway,2024,Bulgaria,32
Medford,gateway,2024,Bulgaria,50
Melrose,gateway,2024,Bulgaria,76
"Milford CDP, Massachusetts",gateway,2024,Bulgaria,16
"Millis-Clicquot CDP, Massachusetts",gateway,2024,Bulgaria,83
"Nantucket CDP, Massachusetts",gateway,2024,Bulgaria,9
Newton,gateway,2024,Bulgaria,64
"Pinehurst CDP, Massachusetts",gateway,2024,Bulgaria,14
"Provincetown CDP, Massachusetts",gateway,2024,Bulgaria,69
Quincy,gateway,2024,Bulgaria,177
Randolph Town,gateway,2024,Bulgaria,20
"Sagamore CDP, Massachusetts",gateway,2024,Bulgaria,24
"Saugus CDP, Massachusetts",gateway,2024,Bulgaria,34
"Scituate CDP, Massachusetts",gateway,2024,Bulgaria,3
Somerville,gateway,2024,Bulgaria,196
"Stoneham CDP, Massachusetts",gateway,2024,Bulgaria,22
Taunton,gateway,2024,Bulgaria,25
Waltham,gateway,2024,Bulgaria,36
Watertown,gateway,2024,Bulgaria,21
"Wellesley CDP, Massachusetts",gateway,2024,Bulgaria,9
"Westborough CDP, Massachusetts",gateway,2024,Bulgaria,10
"West Concord CDP, Massachusetts",gateway,2024,Bulgaria,29
"West Dennis CDP, Massachusetts",gateway,2024,Bulgaria,6
West Springfield Town,gateway,2024,Bulgaria,52
Weymouth Town,gateway,2024,Bulgaria,61
"Wilmington CDP, Massachusetts",gateway,2024,Bulgaria,18
"Winchester CDP, Massachusetts",gateway,2024,Bulgaria,77
Winthrop Town,gateway,2024,Bulgaria,27
Woburn,gateway,2024,Bulgaria,94
Worcester,gateway,2024,Bulgaria,11
Massachusetts,gateway,2024,Croatia,509
"Belmont CDP, Massachusetts",gateway,2024,Croatia,32
Boston,gateway,2024,Croatia,114
"Brookline CDP, Massachusetts",gateway,2024,Croatia,66
Cambridge,gateway,2024,Croatia,16
Lynn,gateway,2024,Croatia,13
"Nantucket CDP, Massachusetts",gateway,2024,Croatia,8
Peabody,gateway,2024,Croatia,9
Revere,gateway,2024,Croatia,49
"Walpole CDP, Massachusetts",gateway,2024,Croatia,31
Watertown,gateway,2024,Croatia,2
Weymouth Town,gateway,2024,Croatia,61
Massachusetts,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),1742
Agawam Town,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),25
Amherst Town,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),9
"Arlington CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),10
Attleboro,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),26
Barnstable Town,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),17
"Belmont CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),42
Beverly,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),45
Boston,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),241
Braintree Town,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),20
"Brookline CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),33
Cambridge,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),84
Chelsea,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),29
Chicopee,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),9
"Cochituate CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),9
"Danvers CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),64
Everett,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),13
Framingham,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),37
Haverhill,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),35
"Lexington CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),7
Lowell,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),12
"Lynnfield CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),11
Medford,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),14
Melrose,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),17
New Bedford,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),11
Newton,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),32
Northampton,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),4
"Northborough CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),15
Peabody,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),45
Pittsfield,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),54
Quincy,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),122
"Sharon CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),8
Somerville,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),70
Watertown,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),18
"Wellesley CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),13
"West Concord CDP, Massachusetts",gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),44
Weymouth Town,gateway,2024,Czechoslovakia (includes Czech Republic and Slovakia),15
Massachusetts,gateway,2024,Hungary,1572
Amherst Town,gateway,2024,Hungary,12
"Arlington CDP, Massachusetts",gateway,2024,Hungary,58
"Belmont CDP, Massachusetts",gateway,2024,Hungary,103
Beverly,gateway,2024,Hungary,45
Boston,gateway,2024,Hungary,142
Braintree Town,gateway,2024,Hungary,8
Bridgewater Town,gateway,2024,Hungary,14
Brockton,gateway,2024,Hungary,7
"Brookline CDP, Massachusetts",gateway,2024,Hungary,96
"Burlington CDP, Massachusetts",gateway,2024,Hungary,13
Cambridge,gateway,2024,Hungary,107
"Cochituate CDP, Massachusetts",gateway,2024,Hungary,8
Easthampton,gateway,2024,Hungary,33
"Falmouth CDP, Massachusetts",gateway,2024,Hungary,8
"Foxborough CDP, Massachusetts",gateway,2024,Hungary,19
Framingham,gateway,2024,Hungary,47
Leominster,gateway,2024,Hungary,23
"Lexington CDP, Massachusetts",gateway,2024,Hungary,48
Malden,gateway,2024,Hungary,12
Marlborough,gateway,2024,Hungary,22
Methuen,gateway,2024,Hungary,2
"Needham CDP, Massachusetts",gateway,2024,Hungary,13
Newton,gateway,2024,Hungary,53
"Norwood CDP, Massachusetts",gateway,2024,Hungary,12
"Pinehurst CDP, Massachusetts",gateway,2024,Hungary,3
Randolph Town,gateway,2024,Hungary,11
Revere,gateway,2024,Hungary,11
Salem,gateway,2024,Hungary,34
Somerville,gateway,2024,Hungary,58
Waltham,gateway,2024,Hungary,11
"Williamstown CDP, Massachusetts",gateway,2024,Hungary,4
Woburn,gateway,2024,Hungary,40
"Woods Hole CDP, Massachusetts",gateway,2024,Hungary,6
Massachusetts,gateway,2024,Latvia,957
Barnstable Town,gateway,2024,Latvia,6
Boston,gateway,2024,Latvia,153
Bridgewater Town,gateway,2024,Latvia,9
"Brookline CDP, Massachusetts",gateway,2024,Latvia,91
Cambridge,gateway,2024,Latvia,43
"Dedham CDP, Massachusetts",gateway,2024,Latvia,9
"Lexington CDP, Massachusetts",gateway,2024,Latvia,13
"Milton CDP, Massachusetts",gateway,2024,Latvia,12
"Nantucket CDP, Massachusetts",gateway,2024,Latvia,20
"Needham CDP, Massachusetts",gateway,2024,Latvia,58
Newton,gateway,2024,Latvia,79
"Norwood CDP, Massachusetts",gateway,2024,Latvia,6
"Pocasset CDP, Massachusetts",gateway,2024,Latvia,11
Quincy,gateway,2024,Latvia,24
Somerville,gateway,2024,Latvia,40
Southbridge Town,gateway,2024,Latvia,4
"Swampscott CDP, Massachusetts",gateway,2024,Latvia,40
Watertown,gateway,2024,Latvia,10
Weymouth Town,gateway,2024,Latvia,13
"Winchester CDP, Massachusetts",gateway,2024,Latvia,9
Worcester,gateway,2024,Latvia,17
Massachusetts,gateway,2024,Lithuania,1049
"Arlington CDP, Massachusetts",gateway,2024,Lithuania,26
Barnstable Town,gateway,2024,Lithuania,71
Boston,gateway,2024,Lithuania,44
"Brewster CDP, Massachusetts",gateway,2024,Lithuania,18
Brockton,gateway,2024,Lithuania,33
"Brookline CDP, Massachusetts",gateway,2024,Lithuania,9
Cambridge,gateway,2024,Lithuania,88
Chicopee,gateway,2024,Lithuania,66
Easthampton,gateway,2024,Lithuania,14
Framingham,gateway,2024,Lithuania,11
Franklin Town,gateway,2024,Lithuania,26
"Lexington CDP, Massachusetts",gateway,2024,Lithuania,31
Lynn,gateway,2024,Lithuania,7
Marlborough,gateway,2024,Lithuania,57
Medford,gateway,2024,Lithuania,21
"Millers Falls CDP, Massachusetts",gateway,2024,Lithuania,9
"Nantucket CDP, Massachusetts",gateway,2024,Lithuania,20
Newton,gateway,2024,Lithuania,51
Revere,gateway,2024,Lithuania,12
Somerville,gateway,2024,Lithuania,11
Waltham,gateway,2024,Lithuania,19
"Webster CDP, Massachusetts",gateway,2024,Lithuania,16
Weymouth Town,gateway,2024,Lithuania,6
Worcester,gateway,2024,Lithuania,82
Massachusetts,gateway,2024,Moldova,2227
Agawam Town,gateway,2024,Moldova,34
Boston,gateway,2024,Moldova,28
Cambridge,gateway,2024,Moldova,12
Chicopee,gateway,2024,Moldova,54
"Devens CDP, Massachusetts",gateway,2024,Moldova,10
Framingham,gateway,2024,Moldova,17
Greenfield,gateway,2024,Moldova,190
Haverhill,gateway,2024,Moldova,17
Holyoke,gateway,2024,Moldova,33
Lynn,gateway,2024,Moldova,94
Marlborough,gateway,2024,Moldova,10
Medford,gateway,2024,Moldova,68
"Middleborough Center CDP, Massachusetts",gateway,2024,Moldova,40
New Bedford,gateway,2024,Moldova,11
Newburyport,gateway,2024,Moldova,55
Newton,gateway,2024,Moldova,199
"Popponesset CDP, Massachusetts",gateway,2024,Moldova,52
Quincy,gateway,2024,Moldova,21
"Reading CDP, Massachusetts",gateway,2024,Moldova,11
Salem,gateway,2024,Moldova,48
Somerville,gateway,2024,Moldova,8
"Swampscott CDP, Massachusetts",gateway,2024,Moldova,137
Westfield,gateway,2024,Moldova,66
West Springfield Town,gateway,2024,Moldova,329
Worcester,gateway,2024,Moldova,10
Massachusetts,gateway,2024,North Macedonia (Macedonia),498
Boston,gateway,2024,North Macedonia (Macedonia),39
Cambridge,gateway,2024,North Macedonia (Macedonia),24
"East Harwich CDP, Massachusetts",gateway,2024,North Macedonia (Macedonia),92
Haverhill,gateway,2024,North Macedonia (Macedonia),34
Melrose,gateway,2024,North Macedonia (Macedonia),34
Somerville,gateway,2024,North Macedonia (Macedonia),5
Waltham,gateway,2024,North Macedonia (Macedonia),88
Watertown,gateway,2024,North Macedonia (Macedonia),13
Westfield,gateway,2024,North Macedonia (Macedonia),7
Massachusetts,gateway,2024,Poland,10287
"Abington CDP, Massachusetts",gateway,2024,Poland,23
"Adams CDP, Massachusetts",gateway,2024,Poland,21
Agawam Town,gateway,2024,Poland,61
Amherst Town,gateway,2024,Poland,45
"Arlington CDP, Massachusetts",gateway,2024,Poland,107
Attleboro,gateway,2024,Poland,54
"Baldwinville CDP, Massachusetts",gateway,2024,Poland,9
"Bellingham CDP, Massachusetts",gateway,2024,Poland,1
"Belmont CDP, Massachusetts",gateway,2024,Poland,42
Beverly,gateway,2024,Poland,47
Boston,gateway,2024,Poland,672
Braintree Town,gateway,2024,Poland,11
"Brewster CDP, Massachusetts",gateway,2024,Poland,60
Bridgewater Town,gateway,2024,Poland,25
Brockton,gateway,2024,Poland,1
"Brookline CDP, Massachusetts",gateway,2024,Poland,172
"Burlington CDP, Massachusetts",gateway,2024,Poland,10
"Buzzards Bay CDP, Massachusetts",gateway,2024,Poland,1
Cambridge,gateway,2024,Poland,130
Chicopee,gateway,2024,Poland,1035
"Cochituate CDP, Massachusetts",gateway,2024,Poland,21
"Cordaville CDP, Massachusetts",gateway,2024,Poland,25
"Danvers CDP, Massachusetts",gateway,2024,Poland,60
"Dedham CDP, Massachusetts",gateway,2024,Poland,44
"Dover CDP, Massachusetts",gateway,2024,Poland,7
"East Falmouth CDP, Massachusetts",gateway,2024,Poland,6
Easthampton,gateway,2024,Poland,26
Fall River,gateway,2024,Poland,12
"Falmouth CDP, Massachusetts",gateway,2024,Poland,6
"Fiskdale CDP, Massachusetts",gateway,2024,Poland,8
Framingham,gateway,2024,Poland,19
Franklin Town,gateway,2024,Poland,30
Gloucester,gateway,2024,Poland,55
"Great Barrington CDP, Massachusetts",gateway,2024,Poland,13
Haverhill,gateway,2024,Poland,22
"Holbrook CDP, Massachusetts",gateway,2024,Poland,46
Holyoke,gateway,2024,Poland,133
"Hull CDP, Massachusetts",gateway,2024,Poland,38
Lawrence,gateway,2024,Poland,17
"Lexington CDP, Massachusetts",gateway,2024,Poland,177
"Longmeadow CDP, Massachusetts",gateway,2024,Poland,112
Lowell,gateway,2024,Poland,40
Lynn,gateway,2024,Poland,85
"Lynnfield CDP, Massachusetts",gateway,2024,Poland,15
"Madaket CDP, Massachusetts",gateway,2024,Poland,32
Malden,gateway,2024,Poland,145
"Marblehead CDP, Massachusetts",gateway,2024,Poland,54
Marlborough,gateway,2024,Poland,36
Medford,gateway,2024,Poland,29
Melrose,gateway,2024,Poland,20
Methuen,gateway,2024,Poland,132
"Milton CDP, Massachusetts",gateway,2024,Poland,37
"Monson Center CDP, Massachusetts",gateway,2024,Poland,1
"Nahant CDP, Massachusetts",gateway,2024,Poland,1
"Nantucket CDP, Massachusetts",gateway,2024,Poland,64
"Needham CDP, Massachusetts",gateway,2024,Poland,66
New Bedford,gateway,2024,Poland,2
Newton,gateway,2024,Poland,119
North Attleborough Town,gateway,2024,Poland,76
"Northwest Harwich CDP, Massachusetts",gateway,2024,Poland,6
"Norton Center CDP, Massachusetts",gateway,2024,Poland,15
"Norwood CDP, Massachusetts",gateway,2024,Poland,38
"Onset CDP, Massachusetts",gateway,2024,Poland,112
"Oxford CDP, Massachusetts",gateway,2024,Poland,13
Palmer Town,gateway,2024,Poland,44
Peabody,gateway,2024,Poland,96
Pittsfield,gateway,2024,Poland,48
"Provincetown CDP, Massachusetts",gateway,2024,Poland,16
Quincy,gateway,2024,Poland,89
Randolph Town,gateway,2024,Poland,180
"Reading CDP, Massachusetts",gateway,2024,Poland,15
Revere,gateway,2024,Poland,143
Salem,gateway,2024,Poland,21
"Salisbury CDP, Massachusetts",gateway,2024,Poland,36
"Scituate CDP, Massachusetts",gateway,2024,Poland,1
Somerville,gateway,2024,Poland,85
"South Deerfield CDP, Massachusetts",gateway,2024,Poland,49
"South Yarmouth CDP, Massachusetts",gateway,2024,Poland,14
Springfield,gateway,2024,Poland,208
"Sturbridge CDP, Massachusetts",gateway,2024,Poland,15
"Swampscott CDP, Massachusetts",gateway,2024,Poland,6
Taunton,gateway,2024,Poland,33
"Wakefield CDP, Massachusetts",gateway,2024,Poland,78
"Walpole CDP, Massachusetts",gateway,2024,Poland,4
Waltham,gateway,2024,Poland,47
"Ware CDP, Massachusetts",gateway,2024,Poland,135
"Webster CDP, Massachusetts",gateway,2024,Poland,122
"Wellesley CDP, Massachusetts",gateway,2024,Poland,73
"Westborough CDP, Massachusetts",gateway,2024,Poland,61
Westfield,gateway,2024,Poland,165
West Springfield Town,gateway,2024,Poland,66
Weymouth Town,gateway,2024,Poland,19
"Wilmington CDP, Massachusetts",gateway,2024,Poland,33
"Winchester CDP, Massachusetts",gateway,2024,Poland,94
Winthrop Town,gateway,2024,Poland,34
Worcester,gateway,2024,Poland,660
"Yarmouth Port CDP, Massachusetts",gateway,2024,Poland,11
Massachusetts,gateway,2024,Romania,3196
"Andover CDP, Massachusetts",gateway,2024,Romania,9
"Arlington CDP, Massachusetts",gateway,2024,Romania,40
"Belmont CDP, Massachusetts",gateway,2024,Romania,29
Boston,gateway,2024,Romania,201
Bridgewater Town,gateway,2024,Romania,6
"Brookline CDP, Massachusetts",gateway,2024,Romania,123
"Burlington CDP, Massachusetts",gateway,2024,Romania,30
Cambridge,gateway,2024,Romania,192
"Clinton CDP, Massachusetts",gateway,2024,Romania,8
"Dover CDP, Massachusetts",gateway,2024,Romania,30
Framingham,gateway,2024,Romania,21
Franklin Town,gateway,2024,Romania,355
Gloucester,gateway,2024,Romania,10
"Hingham CDP, Massachusetts",gateway,2024,Romania,16
"Hudson CDP, Massachusetts",gateway,2024,Romania,11
"Lexington CDP, Massachusetts",gateway,2024,Romania,35
"Littleton Common CDP, Massachusetts",gateway,2024,Romania,21
Lynn,gateway,2024,Romania,6
Marlborough,gateway,2024,Romania,2
Medford,gateway,2024,Romania,59
Methuen,gateway,2024,Romania,15
"Milton CDP, Massachusetts",gateway,2024,Romania,10
"Needham CDP, Massachusetts",gateway,2024,Romania,8
Newton,gateway,2024,Romania,111
North Attleborough Town,gateway,2024,Romania,8
"Norwood CDP, Massachusetts",gateway,2024,Romania,5
"Oxford CDP, Massachusetts",gateway,2024,Romania,7
Quincy,gateway,2024,Romania,27
Revere,gateway,2024,Romania,12
Salem,gateway,2024,Romania,23
"Saugus CDP, Massachusetts",gateway,2024,Romania,132
"Sharon CDP, Massachusetts",gateway,2024,Romania,24
Somerville,gateway,2024,Romania,62
"South Duxbury CDP, Massachusetts",gateway,2024,Romania,12
Taunton,gateway,2024,Romania,88
"Wakefield CDP, Massachusetts",gateway,2024,Romania,15
"Walpole CDP, Massachusetts",gateway,2024,Romania,15
Waltham,gateway,2024,Romania,20
Watertown,gateway,2024,Romania,56
"Wellesley CDP, Massachusetts",gateway,2024,Romania,29
Westfield,gateway,2024,Romania,40
Weymouth Town,gateway,2024,Romania,68
"Winchester CDP, Massachusetts",gateway,2024,Romania,80
Woburn,gateway,2024,Romania,16
Worcester,gateway,2024,Romania,46
Massachusetts,gateway,2024,Russia,18484
Agawam Town,gateway,2024,Russia,206
Amherst Town,gateway,2024,Russia,131
"Andover CDP, Massachusetts",gateway,2024,Russia,71
"Arlington CDP, Massachusetts",gateway,2024,Russia,235
Attleboro,gateway,2024,Russia,30
"Bellingham CDP, Massachusetts",gateway,2024,Russia,5
"Belmont CDP, Massachusetts",gateway,2024,Russia,153
Beverly,gateway,2024,Russia,74
Boston,gateway,2024,Russia,1986
"Boxford CDP, Massachusetts",gateway,2024,Russia,13
Braintree Town,gateway,2024,Russia,8
Bridgewater Town,gateway,2024,Russia,17
Brockton,gateway,2024,Russia,47
"Brookline CDP, Massachusetts",gateway,2024,Russia,639
"Burlington CDP, Massachusetts",gateway,2024,Russia,71
Cambridge,gateway,2024,Russia,393
Chelsea,gateway,2024,Russia,35
Chicopee,gateway,2024,Russia,231
"Cochituate CDP, Massachusetts",gateway,2024,Russia,70
"Cordaville CDP, Massachusetts",gateway,2024,Russia,15
"Danvers CDP, Massachusetts",gateway,2024,Russia,42
"Dedham CDP, Massachusetts",gateway,2024,Russia,244
Easthampton,gateway,2024,Russia,34
Everett,gateway,2024,Russia,183
Fall River,gateway,2024,Russia,30
Fitchburg,gateway,2024,Russia,23
Framingham,gateway,2024,Russia,458
Franklin Town,gateway,2024,Russia,55
Gloucester,gateway,2024,Russia,9
Greenfield,gateway,2024,Russia,25
Haverhill,gateway,2024,Russia,66
"Hingham CDP, Massachusetts",gateway,2024,Russia,16
Holyoke,gateway,2024,Russia,49
Leominster,gateway,2024,Russia,17
"Lexington CDP, Massachusetts",gateway,2024,Russia,417
"Longmeadow CDP, Massachusetts",gateway,2024,Russia,26
Lowell,gateway,2024,Russia,136
Lynn,gateway,2024,Russia,370
Malden,gateway,2024,Russia,82
"Marblehead CDP, Massachusetts",gateway,2024,Russia,158
Marlborough,gateway,2024,Russia,240
"Marshfield Hills CDP, Massachusetts",gateway,2024,Russia,16
"Mashpee Neck CDP, Massachusetts",gateway,2024,Russia,25
"Maynard CDP, Massachusetts",gateway,2024,Russia,60
"Medfield CDP, Massachusetts",gateway,2024,Russia,23
Medford,gateway,2024,Russia,241
Melrose,gateway,2024,Russia,288
Methuen,gateway,2024,Russia,89
"Milton CDP, Massachusetts",gateway,2024,Russia,49
"Nantucket CDP, Massachusetts",gateway,2024,Russia,77
"Needham CDP, Massachusetts",gateway,2024,Russia,525
Newburyport,gateway,2024,Russia,63
Newton,gateway,2024,Russia,1177
Northampton,gateway,2024,Russia,36
"Northborough CDP, Massachusetts",gateway,2024,Russia,14
"North Eastham CDP, Massachusetts",gateway,2024,Russia,11
"Norwood CDP, Massachusetts",gateway,2024,Russia,149
Peabody,gateway,2024,Russia,40
Pittsfield,gateway,2024,Russia,76
Quincy,gateway,2024,Russia,342
"Reading CDP, Massachusetts",gateway,2024,Russia,52
Revere,gateway,2024,Russia,346
"Rutland CDP, Massachusetts",gateway,2024,Russia,9
Salem,gateway,2024,Russia,67
"Salisbury CDP, Massachusetts",gateway,2024,Russia,34
"Saugus CDP, Massachusetts",gateway,2024,Russia,31
"Sharon CDP, Massachusetts",gateway,2024,Russia,93
Somerville,gateway,2024,Russia,200
Southbridge Town,gateway,2024,Russia,43
"South Duxbury CDP, Massachusetts",gateway,2024,Russia,11
"South Yarmouth CDP, Massachusetts",gateway,2024,Russia,17
Springfield,gateway,2024,Russia,115
"Stoneham CDP, Massachusetts",gateway,2024,Russia,24
"Swampscott CDP, Massachusetts",gateway,2024,Russia,461
Taunton,gateway,2024,Russia,46
"Wakefield CDP, Massachusetts",gateway,2024,Russia,33
"Walpole CDP, Massachusetts",gateway,2024,Russia,17
Waltham,gateway,2024,Russia,423
Watertown,gateway,2024,Russia,207
"Webster CDP, Massachusetts",gateway,2024,Russia,23
"Wellesley CDP, Massachusetts",gateway,2024,Russia,74
"Westborough CDP, Massachusetts",gateway,2024,Russia,12
"West Concord CDP, Massachusetts",gateway,2024,Russia,14
Westfield,gateway,2024,Russia,588
West Springfield Town,gateway,2024,Russia,214
"West Yarmouth CDP, Massachusetts",gateway,2024,Russia,46
Weymouth Town,gateway,2024,Russia,80
"Williamstown CDP, Massachusetts",gateway,2024,Russia,6
"Wilmington CDP, Massachusetts",gateway,2024,Russia,20
"Winchester CDP, Massachusetts",gateway,2024,Russia,59
Winthrop Town,gateway,2024,Russia,66
Woburn,gateway,2024,Russia,136
Worcester,gateway,2024,Russia,631
Massachusetts,gateway,2024,Serbia,1468
Barnstable Town,gateway,2024,Serbia,111
"Belmont CDP, Massachusetts",gateway,2024,Serbia,19
Boston,gateway,2024,Serbia,129
"Brookline CDP, Massachusetts",gateway,2024,Serbia,35
Cambridge,gateway,2024,Serbia,13
Lynn,gateway,2024,Serbia,11
"Lynnfield CDP, Massachusetts",gateway,2024,Serbia,30
Malden,gateway,2024,Serbia,381
Medford,gateway,2024,Serbia,3
"Nantucket CDP, Massachusetts",gateway,2024,Serbia,46
Newton,gateway,2024,Serbia,151
"Norwood CDP, Massachusetts",gateway,2024,Serbia,35
Quincy,gateway,2024,Serbia,13
Revere,gateway,2024,Serbia,37
"Sharon CDP, Massachusetts",gateway,2024,Serbia,11
Springfield,gateway,2024,Serbia,5
"Stoneham CDP, Massachusetts",gateway,2024,Serbia,34
"Swampscott CDP, Massachusetts",gateway,2024,Serbia,28
Weymouth Town,gateway,2024,Serbia,15
Winthrop Town,gateway,2024,Serbia,7
Worcester,gateway,2024,Serbia,74
Massachusetts,gateway,2024,Ukraine,10124
Agawam Town,gateway,2024,Ukraine,332
Amherst Town,gateway,2024,Ukraine,72
"Arlington CDP, Massachusetts",gateway,2024,Ukraine,187
Barnstable Town,gateway,2024,Ukraine,11
"Belchertown CDP, Massachusetts",gateway,2024,Ukraine,18
"Belmont CDP, Massachusetts",gateway,2024,Ukraine,155
Beverly,gateway,2024,Ukraine,102
Boston,gateway,2024,Ukraine,963
Braintree Town,gateway,2024,Ukraine,12
"Brookline CDP, Massachusetts",gateway,2024,Ukraine,349
"Burlington CDP, Massachusetts",gateway,2024,Ukraine,15
Cambridge,gateway,2024,Ukraine,268
Chelsea,gateway,2024,Ukraine,26
Chicopee,gateway,2024,Ukraine,45
"Clinton CDP, Massachusetts",gateway,2024,Ukraine,27
"Cochituate CDP, Massachusetts",gateway,2024,Ukraine,21
"Danvers CDP, Massachusetts",gateway,2024,Ukraine,24
"Dedham CDP, Massachusetts",gateway,2024,Ukraine,31
"Dennis CDP, Massachusetts",gateway,2024,Ukraine,25
"Devens CDP, Massachusetts",gateway,2024,Ukraine,8
Everett,gateway,2024,Ukraine,34
"Fiskdale CDP, Massachusetts",gateway,2024,Ukraine,25
"Foxborough CDP, Massachusetts",gateway,2024,Ukraine,17
Framingham,gateway,2024,Ukraine,181
Franklin Town,gateway,2024,Ukraine,23
Gardner,gateway,2024,Ukraine,16
"Great Barrington CDP, Massachusetts",gateway,2024,Ukraine,12
"Hingham CDP, Massachusetts",gateway,2024,Ukraine,9
"Hopkinton CDP, Massachusetts",gateway,2024,Ukraine,5
"Huntington CDP, Massachusetts",gateway,2024,Ukraine,13
"Ipswich CDP, Massachusetts",gateway,2024,Ukraine,20
Leominster,gateway,2024,Ukraine,306
"Lexington CDP, Massachusetts",gateway,2024,Ukraine,18
"Littleton Common CDP, Massachusetts",gateway,2024,Ukraine,21
"Longmeadow CDP, Massachusetts",gateway,2024,Ukraine,32
Lynn,gateway,2024,Ukraine,330
Malden,gateway,2024,Ukraine,83
"Marblehead CDP, Massachusetts",gateway,2024,Ukraine,72
Marlborough,gateway,2024,Ukraine,48
"Medfield CDP, Massachusetts",gateway,2024,Ukraine,8
Medford,gateway,2024,Ukraine,62
Melrose,gateway,2024,Ukraine,65
"Middleborough Center CDP, Massachusetts",gateway,2024,Ukraine,38
"Millis-Clicquot CDP, Massachusetts",gateway,2024,Ukraine,26
"Milton CDP, Massachusetts",gateway,2024,Ukraine,65
"Nahant CDP, Massachusetts",gateway,2024,Ukraine,8
"Nantucket CDP, Massachusetts",gateway,2024,Ukraine,10
"Needham CDP, Massachusetts",gateway,2024,Ukraine,324
Newburyport,gateway,2024,Ukraine,10
Newton,gateway,2024,Ukraine,810
Northampton,gateway,2024,Ukraine,22
"Northborough CDP, Massachusetts",gateway,2024,Ukraine,3
Peabody,gateway,2024,Ukraine,59
Pittsfield,gateway,2024,Ukraine,43
"Plymouth CDP, Massachusetts",gateway,2024,Ukraine,24
Quincy,gateway,2024,Ukraine,112
"Reading CDP, Massachusetts",gateway,2024,Ukraine,33
Revere,gateway,2024,Ukraine,23
Salem,gateway,2024,Ukraine,108
"Saugus CDP, Massachusetts",gateway,2024,Ukraine,41
"Sharon CDP, Massachusetts",gateway,2024,Ukraine,8
Somerville,gateway,2024,Ukraine,64
"South Yarmouth CDP, Massachusetts",gateway,2024,Ukraine,29
Springfield,gateway,2024,Ukraine,57
"Stoneham CDP, Massachusetts",gateway,2024,Ukraine,91
"Swampscott CDP, Massachusetts",gateway,2024,Ukraine,205
"Upton CDP, Massachusetts",gateway,2024,Ukraine,44
"Wakefield CDP, Massachusetts",gateway,2024,Ukraine,47
Waltham,gateway,2024,Ukraine,34
Watertown,gateway,2024,Ukraine,45
"Wellesley CDP, Massachusetts",gateway,2024,Ukraine,34
"West Concord CDP, Massachusetts",gateway,2024,Ukraine,11
Westfield,gateway,2024,Ukraine,667
West Springfield Town,gateway,2024,Ukraine,628
