"GEO_ID","NAME","B06011_001E","B06011_001M","B06011_002E","B06011_002M","B06011_003E","B06011_003M","B06011_004E","B06011_004M","B06011_005E","B06011_005M",
"Geography","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Born in state of residence","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in state of residence","Estimate!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Estimate!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Estimate!!Median income in the past 12 months --!!Total:!!Foreign born","Margin of Error!!Median income in the past 12 months --!!Total:!!Foreign born",
"1600000US2538960","Marshfield Hills CDP, Massachusetts","81083","17739","70469","20571","96680","53916","-","**","128026","78020",
"1600000US2539152","Mashpee Neck CDP, Massachusetts","55682","30382","43844","29299","56705","43628","-","**","74583","24260",
"1600000US2539485","Mattapoisett Center CDP, Massachusetts","72520","19768","71736","18459","60132","46120","-","**","138382","74082",
"1600000US2539660","Maynard CDP, Massachusetts","67070","6618","55276","10798","87708","25580","71471","15351","62593","13778",
"1600000US2539730","Medfield CDP, Massachusetts","84940","9340","74620","13193","125450","32069","-","**","87054","17109",
"1600000US2539835","Medford city, Massachusetts","59811","4493","52310","3308","75851","5132","58654","12484","51110","8176",
"1600000US2540115","Melrose city, Massachusetts","69715","4100","60730","5624","97635","8767","115250","58550","68333","8657",
"1600000US2540675","Methuen city, Massachusetts","47543","2271","49643","2149","57558","15426","33912","15281","44514","3153",
"1600000US2540885","Middleborough Center CDP, Massachusetts","45869","3596","47832","6366","34409","10131","20733","7404","36250","28778",
"1600000US2541200","Milford CDP, Massachusetts","42418","4481","46180","4419","59310","16374","28036","12012","35833","4260",
"1600000US2541410","Millers Falls CDP, Massachusetts","37969","5073","38750","4669","25329","6018","-","**","75789","50624",
