"GEO_ID","NAME","B05010_001E","B05010_001M","B05010_002E","B05010_002M","B05010_003E","B05010_003M","B05010_004E","B05010_004M","B05010_005E","B05010_005M","B05010_006E","B05010_006M","B05010_007E","B05010_007M","B05010_008E","B05010_008M","B05010_009E","B05010_009M","B05010_010E","B05010_010M","B05010_011E","B05010_011M","B05010_012E","B05010_012M","B05010_013E","B05010_013M","B05010_014E","B05010_014M","B05010_015E","B05010_015M","B05010_016E","B05010_016M","B05010_017E","B05010_017M","B05010_018E","B05010_018M","B05010_019E","B05010_019M","B05010_020E","B05010_020M","B05010_021E","B05010_021M","B05010_022E","B05010_022M","B05010_023E","B05010_023M","B05010_024E","B05010_024M","B05010_025E","B05010_025M",
"1600000US2570115","Topsfield CDP, Massachusetts","520","187","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","520","187","431","186","415","184","0","14","16","29","89","96","89","96","0","14",
"1600000US2570325","Townsend CDP, Massachusetts","143","92","11","18","11","18","11","18","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","132","90","96","79","96","79","0","14","0","14","36","43","36","43","0","14",
"1600000US2570815","Turners Falls CDP, Massachusetts","772","208","146","131","94","124","0","14","94","124","0","14","52","52","52","52","0","14","218","114","83","93","83","93","0","14","0","14","135","92","135","92","0","14","408","145","331","147","271","127","0","14","60","59","77","52","77","52","0","14",
"1600000US2571445","Upton CDP, Massachusetts","646","228","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","54","75","0","14","0","14","0","14","0","14","54","75","54","75","0","14","592","216","364","218","255","198","16","26","93","101","228","141","175","125","53","78",
"1600000US2571970","Vineyard Haven CDP, Massachusetts","436","166","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","66","96","66","96","66","96","0","14","0","14","0","14","0","14","0","14","370","162","309","140","176","124","102","67","31","58","61","74","61","74","0","14",
"1600000US2572250","Wakefield CDP, Massachusetts","5514","391","155","124","67","108","0","25","67","108","0","25","88","67","66","60","22","32","187","157","28","33","14","17","0","25","14","28","159","156","159","156","0","25","5172","372","4689","389","3967","436","294","147","428","223","483","153","369","136","114","87",
"1600000US2572460","Walpole CDP, Massachusetts","1227","276","92","104","58","82","0","19","58","82","0","19","34","57","34","57","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","1135","266","994","268","925","276","17","26","52","75","141","98","102","85","39","46",
"1600000US2572600","Waltham city, Massachusetts","8508","661","660","351","378","252","78","125","264","216","36","52","282","241","265","239","17","27","1096","487","525","371","91","116","210","107","224","331","571","326","304","224","267","254","6752","615","5347","504","3424","429","1025","351","898","283","1405","411","707","255","698","312",
"1600000US2572845","Ware CDP, Massachusetts","1345","341","301","199","0","19","0","19","0","19","0","19","301","199","237","175","64","73","398","214","181","123","181","123","0","19","0","19","217","191","217","191","0","19","646","318","350","181","350","181","0","19","0","19","296","274","296","274","0","19",
"1600000US2573020","Wareham Center CDP, Massachusetts","392","255","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","392","255","194","210","167","206","0","14","27","43","198","150","198","150","0","14",
"1600000US2573055","Warren CDP, Massachusetts","377","278","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","377","278","137","137","137","137","0","14","0","14","240","297","240","297","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US2573405","Watertown city, Massachusetts","5011","429","355","191","164","87","35","49","116","91","13","19","191","168","122","154","69","91","267","147","110","104","27","50","83","90","0","29","157","104","110","80","47","72","4389","462","3708","474","1814","301","1236","470","658","263","681","207","499","202","182","102",
"1600000US2573930","Webster CDP, Massachusetts","2583","418","527","298","19","29","19","29","0","21","0","21","508","296","508","296","0","21","727","272","321","234","209","209","103","106","9","29","406","190","367","182","39","48","1329","322","665","173","461","117","144","132","60","76","664","291","509","256","155","120",
"1600000US2574210","Wellesley CDP, Massachusetts","7228","423","154","106","53","44","53","44","0","29","0","29","101","89","60","72","41","41","119","125","107","123","0","29","107","123","0","29","12","20","12","20","0","29","6955","437","6438","433","4337","480","1217","284","884","217","517","265","221","123","296","273",
"1600000US2575050","Westborough CDP, Massachusetts","1028","226","100","114","100","114","0","14","100","114","0","14","0","14","0","14","0","14","257","187","62","94","0","14","62","94","0","14","195","179","195","179","0","14","671","159","573","156","387","155","107","83","79","60","98","83","14","19","84","79",
"1600000US2575365","West Brookfield CDP, Massachusetts","146","98","31","51","0","14","0","14","0","14","0","14","31","51","31","51","0","14","45","56","0","14","0","14","0","14","0","14","45","56","45","56","0","14","70","70","50","61","50","61","0","14","0","14","20","31","20","31","0","14",
"1600000US2575505","West Chatham CDP, Massachusetts","181","129","74","76","0","14","0","14","0","14","0","14","74","76","74","76","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","107","85","81","81","0","14","69","82","12","21","26","30","26","30","0","14",
"1600000US2575680","West Concord CDP, Massachusetts","1119","279","27","43","0","19","0","19","0","19","0","19","27","43","27","43","0","19","14","40","0","19","0","19","0","19","0","19","14","40","14","40","0","19","1078","278","908","274","686","272","131","83","91","64","170","106","115","86","55","68",
"1600000US2575820","West Dennis CDP, Massachusetts","63","68","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","12","18","0","14","0","14","0","14","0","14","12","18","12","18","0","14","51","67","51","67","0","14","51","67","0","14","0","14","0","14","0","14",
"1600000US2575960","West Falmouth CDP, Massachusetts","81","83","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","81","83","69","82","69","82","0","14","0","14","12","20","12","20","0","14",
